;**************************************************************
; Registers.dat		table of registers for the Dis++ library
;	
; The columns are:
; register name, disassembler class, register encoding
; encoding (binary and hex formats)
;**************************************************************

; General-purpose registers (32-bit) 
cntfrq_el0				SysReg				0xdf00
cnthctl_el2				SysReg				0xe708
cnthps_ctl_el2			SysReg				0xe729
cnthps_cval_el2			SysReg				0xe72a
cnthps_tval_el2			SysReg				0xe728
cnthp_ctl_el2			SysReg				0xe711
cnthp_cval_el2			SysReg				0xe712
cnthp_tval_el2			SysReg				0xe710
cnthvs_ctl_el2			SysReg				0xe721
cnthvs_cval_el2			SysReg				0xe722
cnthvs_tval_el2			SysReg				0xe720
cnthv_ctl_el2			SysReg				0xe719
cnthv_cval_el2			SysReg				0xe71a
cnthv_tval_el2			SysReg				0xe718
cntkctl_el1				SysReg				0xc708
cntkctl_el12			SysReg				0xc708
cntpct_el0				SysReg				0xdf01
cntps_ctl_el1			SysReg				0xff11
cntps_cval_el1			SysReg				0xff12
cntps_tval_el1			SysReg				0xff10
cntp_ctl_el0			SysReg				0xdf11
cntp_ctl_el02			SysReg				0xef11
cntp_cval_el0			SysReg				0xdf12
cntp_cval_el02			SysReg				0xef12
cntp_tval_el0			SysReg				0xdf10
cntp_tval_el02			SysReg				0xef10
cntvct_el0				SysReg				0xdf02
cntvoff_el2				SysReg				0xe703
cntv_ctl_el0			SysReg				0xdf19
cntv_ctl_el02			SysReg				0xef19
cntv_cval_el0			SysReg				0xdf1a
cntv_cval_el02			SysReg				0xef1a
cntv_tval_el0			SysReg				0xdf18
cntv_tval_el02			SysReg				0xef18
contextidr_el1			SysReg				0xc681
contextidr_el12			SysReg				0xee81
contextidr_el2			SysReg				0xe681
cpacr_el1				SysReg				0xc082
cpacr_el12				SysReg				0xe882
cptr_el2				SysReg				0xe08a
cptr_el3				SysReg				0xf08a
csselr_el1				SysReg				0xd000
ctr_el0					SysReg				0xd801
currentel				SysReg				0xc212
dacr32_el2				SysReg				0xe180
daif					SysReg				0xda11
dbgauthstatus_el1		SysReg				0x83f6
dbgclaimclr_el1			SysReg				0x83ce
dbgclaimset_el1			SysReg				0x83c6
dbgdtrrx_el0			SysReg				0x9828
dbgdtrtx_el0			SysReg				0x9828
dbgdtr_el0				SysReg				0x9820
dbgprcr_el1				SysReg				0x80a4
dbgvcr32_el2			SysReg				0xa038
dczid_el0				SysReg				0xd807
disr_el1				SysReg				0xc609
dit						SysReg				0xda15
dlr_el0					SysReg				0xda29
dspsr_el0				SysReg				0xda28
elr_el1					SysReg				0xc201
elr_el12				SysReg				0xea01
elr_el2					SysReg				0xe201
elr_el3					SysReg				0xf201
erridr_el1				SysReg				0xc298
errselr_el1				SysReg				0xc299
erxaddr_el1				SysReg				0xc2a3
erxctlr_el1				SysReg				0xc2a1
erxfr_el1				SysReg				0xc2a0
erxmisc0_el1			SysReg				0xc2a8
erxmisc1_el1			SysReg				0xc2a9
erxmisc2_el1			SysReg				0xc2aa
erxmisc3_el1			SysReg				0xc2ab
erxpfgcdn_el1			SysReg				0xc2a6
erxpfgctl_el1			SysReg				0xc2a5
erxpfgf_el1				SysReg				0xc2a4
erxstatus_el1			SysReg				0xc2a2
esr_el1					SysReg				0xc290
esr_el12				SysReg				0xea90
esr_el2					SysReg				0xe290
esr_el3					SysReg				0xf290
far_el1					SysReg				0xc300
far_el12				SysReg				0xeb00
far_el2					SysReg				0xe300
far_el3					SysReg				0xf300
fpcr					SysReg				0xd184
fpexc32_el2				SysReg				0xe298
fpsr					SysReg				0xd194
gcr_el1					SysReg				0xc086
gmid_el1				SysReg				0xcc0
hacr_el2				SysReg				0xe08f
hcr_el2					SysReg				0xe088
hpfar_el2				SysReg				0xe304
hstr_el2				SysReg				0xe08b
id_aa64afr0_el1			SysReg				0xc02c
id_aa64afr1_el1			SysReg				0xc02d
id_aa64dfr0_el1			SysReg				0xc028
id_aa64dfr1_el1			SysReg				0xc029
id_aa64isar0_el1		SysReg				0xc030
id_aa64isar1_el1		SysReg				0xc031
id_aa64mmfr0_el1		SysReg				0xc038
id_aa64mmfr1_el1		SysReg				0xc039
id_aa64mmfr2_el1		SysReg				0xc03a
id_aa64pfr0_el1			SysReg				0xc020
id_aa64pfr1_el1			SysReg				0xc021
id_afr0_el1				SysReg				0xc00b
id_dfr0_el1				SysReg				0xc00a
id_isar0_el1			SysReg				0xc010
id_isar1_el1			SysReg				0xc011
id_isar2_el1			SysReg				0xc012
id_isar3_el1			SysReg				0xc013
id_isar4_el1			SysReg				0xc014
id_isar5_el1			SysReg				0xc015
id_isar6_el1			SysReg				0xc017
id_mmfr0_el1			SysReg				0xc00c
id_mmfr1_el1			SysReg				0xc00d
id_mmfr2_el1			SysReg				0xc00e
id_mmfr3_el1			SysReg				0xc00f
id_mmfr4_el1			SysReg				0xc016
id_pfr0_el1				SysReg				0xc008
id_pfr1_el1				SysReg				0xc009
id_pfr2_el1				SysReg				0xc01c
ifsr32_el2				SysReg				0xe281
isr_el1					SysReg				0xc608
lorc_el1				SysReg				0xc523
lorea_el1				SysReg				0xc521
lorid_el1				SysReg				0xc527
lorn_el1				SysReg				0xc522
lorsa_el1				SysReg				0xc520
mair_el1				SysReg				0xc510
mair_el12				SysReg				0xed10
mair_el2				SysReg				0xe510
mair_el3				SysReg				0xf510
mdccint_el1				SysReg				0x8010
mdccsr_el0				SysReg				0x9808
mdcr_el2				SysReg				0xe089
mdcr_el3				SysReg				0xf099
mdrar_el1				SysReg				0x8080
mdscr_el1				SysReg				0x8012
midr_el1				SysReg				0xc000
mpidr_el1				SysReg				0xc005
mvfr0_el1				SysReg				0xc018
mvfr1_el1				SysReg				0xc019
mvfr2_el1				SysReg				0xc01a
nzcv					SysReg				0xda10
osdlr_el1				SysReg				0x809c
osdtrrx_el1				SysReg				0x8002
osdtrtx_el1				SysReg				0x801a
oseccr_el1				SysReg				0x8032
oslar_el1				SysReg				0x8084
oslsr_el1				SysReg				0x808c
pan						SysReg				0xc213
par_el1					SysReg				0xc3a0
pmbidr_el1				SysReg				0xc4d7
pmblimitr_el1			SysReg				0xc4d0
pmbptr_el1				SysReg				0xc4d1
pmbsr_el1				SysReg				0xc4d3
pmccfiltr_el0			SysReg				0xdf7f
pmccntr_el0				SysReg				0xdce8
pmceid0_el0				SysReg				0xdce6
pmceid1_el0				SysReg				0xdce7
pmcntenclr_el0			SysReg				0xdce2
pmcntenset_el0			SysReg				0xdce1
pmcr_el0				SysReg				0xdce0
pmintenclr_el1			SysReg				0xc4f2
pmintenset_el1			SysReg				0xc4f1
pmmir_el1				SysReg				0xc4f6
pmovsclr_el0			SysReg				0xdce3
pmovsset_el0			SysReg				0xdcf3
pmscr_el1				SysReg				0xc4c8
pmscr_el12				SysReg				0xecc8
pmscr_el2				SysReg				0xe4c8
pmselr_el0				SysReg				0xdce5
pmsevfr_el1				SysReg				0xc4cd
pmsfcr_el1				SysReg				0xc4cc
pmsicr_el1				SysReg				0xc4ca
pmsidr_el1				SysReg				0xc4cf
pmsirr_el1				SysReg				0xc4cb
pmslatfr_el1			SysReg				0xc4ce
pmswinc_el0				SysReg				0xdce4
pmuserenr_el0			SysReg				0xdcf0
pmxevcntr_el0			SysReg				0xdcea
pmxevtyper_el0			SysReg				0xdce9
revidr_el1				SysReg				0xc006
rgsr_el1				SysReg				0xc085
rmr_el1					SysReg				0xc602
rmr_el2					SysReg				0xe602
rmr_el3					SysReg				0xf602
rndr					SysReg				0xd920
rndrrs					SysReg				0xd921
rvbar_el1				SysReg				0xc601
rvbar_el2				SysReg				0xe601
rvbar_el3				SysReg				0xf601
scr_el3					SysReg				0xf088
sctlr_el1				SysReg				0xc080
sctlr_el12				SysReg				0xe880
sctlr_el2				SysReg				0xe080
sctlr_el3				SysReg				0xf080
scxtnum_el0				SysReg				0xde87
scxtnum_el1				SysReg				0xc687
scxtnum_el12			SysReg				0xee87
scxtnum_el2				SysReg				0xe687
scxtnum_el3				SysReg				0xf687
sder32_el2				SysReg				0xe099
sder32_el3				SysReg				0xf089
spsr_el1				SysReg				0xc200
spsr_el12				SysReg				0xea00
spsr_el2				SysReg				0xe200
spsr_el3				SysReg				0xf200
spsr_abt				SysReg				0xe219
spsr_fiq				SysReg				0xe21b
spsr_irq				SysReg				0xe218
spsr_und				SysReg				0xe21a
spsel					SysReg				0xc210
sp_el0					SysReg				0xc208
p_el1					SysReg				0xe208
sp_el2					SysReg				0xf208
ssbs					SysReg				0xda16
tco						SysReg				0xda17
tcr_el1					SysReg				0xc102
tcr_el12				SysReg				0xe902
tcr_el2					SysReg				0xe102
tcr_el3					SysReg				0xf102
tfsre0_el1				SysReg				0xc2b1
tfsr_el1				SysReg				0xc2b0
tfsr_el12				SysReg				0xeab0
tfsr_el2				SysReg				0xe2b0
tfsr_el3				SysReg				0xf2b0
tpidrro_el0				SysReg				0xde83
tpidr_el0				SysReg				0xde82
tpidr_el1				SysReg				0xc684
tpidr_el2				SysReg				0xe682
tpidr_el3				SysReg				0xf682
trfcr_el1				SysReg				0xc091
trfcr_el12				SysReg				0xe891
trfcr_el2				SysReg				0xe091
ttbr0_el1				SysReg				0xc100
ttbr0_el12				SysReg				0xe900
ttbr0_el2				SysReg				0xe100
ttbr0_el3				SysReg				0xf100
ttbr1_el1				SysReg				0xc101
ttbr1_el12				SysReg				0xe901
ttbr1_el2				SysReg				0xe101
uao						SysReg				0xc214
vbar_el1				SysReg				0xc600
vbar_el12				SysReg				0xee00
